2016-10-01,3426
2016-10-02,3406
2016-10-03,3426
2016-10-04,3404
2016-10-05,3396
2016-10-06,3426
2016-10-07,3420
2016-10-08,3446
2016-10-09,3482
2016-10-10,3458
2016-10-11,3440
2016-10-12,3382
2016-10-13,3386
2016-10-14,3388
2016-10-15,3422
2016-10-16,3474
2016-10-17,3434
2016-10-18,3420
2016-10-19,3398
2016-10-20,3388
2016-10-21,3382
2016-10-22,3378
2016-10-23,3400
2016-10-24,3356
2016-10-25,3366
2016-10-26,3440
2016-10-27,3376
2016-10-28,3412
2016-10-29,3412
2016-10-30,3382
2016-10-31,3376
2016-11-01,3383
2016-11-02,3374
2016-11-03,3378
2016-11-04,3420
2016-11-05,3444
2016-11-06,3388
2016-11-07,3422
2016-11-08,3400
2016-11-09,3420
2016-11-10,3448
2016-11-11,3431
2016-11-12,3402
2016-11-13,3465
2016-11-14,3472
2016-11-15,3388
2016-11-16,3456
2016-11-17,3421
2016-11-18,3399
2016-11-19,3400
2016-11-20,3477
2016-11-21,3489
2016-11-22,3460
2016-11-23,3499
2016-11-24,3477
2016-11-25,3486
2016-11-26,3499
2016-11-27,3524
2016-11-28,3480
2016-11-29,3462
2016-11-30,3446
2016-12-01,3421
2016-12-02,3488
2016-12-03,3484
2016-12-04,3462
2016-12-05,3464
2016-12-06,3452
2016-12-07,3472
2016-12-08,3494
2016-12-09,3500
2016-12-10,3514
2016-12-11,3484
2016-12-12,3487
2016-12-13,3457
2016-12-14,3470
2016-12-15,3490
2016-12-16,3456
2016-12-17,3485
2016-12-18,3514
2016-12-19,3490
2016-12-20,3492
2016-12-21,3513
2016-12-22,3487
2016-12-23,3450
2016-12-24,3520
2016-12-25,3533
2016-12-26,3548
2016-12-27,3522
2016-12-28,3514
2016-12-29,3534
2016-12-30,3514
2016-12-31,3526
2017-01-01,3558
2017-01-02,3534
2017-01-03,3534
2017-01-04,3550
2017-01-05,3516
2017-01-06,3522
2017-01-07,3524
2017-01-08,3516
